;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;236572019;243323007;245084194;247764793;250042755;252327288;387546320;405098531;255565032;254420357;700447374;645452098;267215390;257499112;1154965914;1049023776;271172160;276096105;1815002433;1253487358;281587719;267274956;3873726926;2033108693;293149155;306648667;8520576989;2932727582;444974015;444307421;33409163662;5582176850;583193901;585362480;0;10026465256;812528802;821374389;0;16106615899;1107569623;1240433876;0;39696440386
Liste todos os musicais com músicas de Elton John.;177436977;174881124;193476157;196640204;185048709;201990268;367785434;342267283;197813687;199062741;740991094;405480775;202257730;207359437;1357249083;1070180344;218518212;216605360;2201597456;1473923311;308328511;307611194;4353064385;3064516122;372615220;370075605;9047219721;6464839222;527876725;557421562;35018039306;20241951919;660392876;671379282;0;41328338187;762155843;720385505;0;0;782583975;802035212;0;0
Qual a altura do Farol em Colombo?;243241207;235607840;274795616;246295499;261253828;263606586;400832659;327169390;272319543;265274657;705468367;555177248;293112286;259669900;1175148700;936126594;285824917;277171654;1711452273;1358306986;312340690;312130300;4204590127;2500398828;398519285;332820363;8597626650;5588595839;480878673;466759660;32492365562;37983741763;598406089;583576181;0;0;619915457;657207334;0;0;676339842;644860095;0;0
Quem foi a esposa do presidente americano Lincoln?;220962438;213897479;217062737;227195794;211933438;217652532;388250819;393430383;213367716;241192696;774562796;742196003;241420993;256044426;1106948817;1085831347;263684769;271093137;1579528923;1392628482;314032850;352421469;3630981782;3517003608;384475585;363597081;7552062428;8110420440;465974751;469563878;34846336439;20043276843;446655260;476134258;0;31030920267;522018660;492346364;0;79413700115;522898608;540834250;0;0
Quem é o apresentador do BBC Wildlife Specials?;172199756;167711554;175532275;190616279;171689872;174209564;316277443;264149769;176415481;169288336;576735320;482782792;169920563;193594813;1014015466;746597635;182739387;187542816;1525390764;863292620;213738624;195019548;3049253677;1234106713;207417340;210861199;7279897424;1622414941;227713550;242287906;28781725703;4584217281;238679183;253828017;0;14320017407;321258510;297090326;0;33903630526;322293266;272601764;0;0
Quanto custou Pulp Fiction?;161134954;168571301;182405937;199949754;206043233;185576540;356219667;338637445;210022595;179807735;683818002;642606329;221316740;232037474;1036116727;1120834949;225297545;236922232;1524072531;1515711698;305634275;312374990;3312307274;3572852006;311716412;308357665;7312744472;6614523744;310836969;316009218;26451111904;11936757341;353217960;312568684;0;24854236576;360910086;388912401;0;50515734258;345755281;358137305;0;0
Em que cidade fica a cervejaria Heineken?;261702706;258976783;285410191;281774190;263731662;266926542;418905381;408260353;280043493;293225733;721893714;749657901;338382600;276988071;1195817109;1036863528;294253308;294853134;1680764500;1329096347;325994559;299446787;4198708790;2676207183;306359729;366663258;8128040555;4104298654;341802535;356580131;32213586902;7851948567;346216387;342575384;0;15257644676;383007687;357109023;0;25388557919;432400624;362473494;0;0
Quando começou a Operação Overlord?;73479239;73496585;98725844;100196674;73854183;71823285;117512374;101689260;75017147;76577700;119016173;107178422;75871449;84646763;116140999;114372423;72438404;68248772;120082544;103134688;78792301;72544006;114659499;114569068;76598000;83691679;118682864;120779077;79108447;73065182;111917391;120225621;75559053;83924176;115379081;113344441;72125728;79261077;119616357;118606183;77397838;67864683;116777168;122634658
Em que cidade termina a Rota 68 do Chile?;323341979;322568560;338098474;330172240;326382960;348310420;491992864;481008017;341891495;360653153;805453524;552887324;337503306;354780255;1201384885;1060310178;389966786;371097247;1495855125;1451064811;442000695;431829478;4509989008;3579750009;473449649;461208152;9116662753;7653670503;640333653;604584765;37578119999;28071715049;787682815;773559871;0;0;922490103;715635607;0;0;1088373098;1056729575;0;0
Quem desenvolveu o Slack?;117890833;124880398;123577987;137620910;122220786;118712975;287973585;214896879;123479381;131476403;610876665;335581123;121901606;124700095;1071927494;665214891;133523981;127106691;1596513465;1004732203;139766950;140338797;4228219358;1963829227;147674679;154226916;8450461037;4035320247;163322105;189977649;34251390082;10392539377;215681551;190831830;0;24217086942;233754475;250509715;0;53697258389;301480902;256760274;0;0
Quem foi casada com o presidente Chirac?;99541664;95107206;120071756;122219655;124374843;119706126;285757452;315831501;135623144;139512163;554812289;561808424;158247429;160140490;999073629;974682621;184938578;181482895;1440251145;1434284681;210447907;204248642;4284548079;3513828915;209748203;242444967;8379132043;5741576933;228625673;223246661;29908783145;11694257120;255070409;241001059;0;24518988115;261101753;273725833;0;38475967518;285097863;292983068;0;0
